experiment,method,variable,mean,sd,q05,median,q95
stan_k2_rollstd,stan_nuts,pi_0,0.5937368886200001,0.0210302936650141,0.557627073,0.59548667,0.627726714
stan_k2_rollstd,stan_nuts,pi_1,0.40626311138,0.0210302936650141,0.372273286,0.40451333,0.442372927
stan_k2_rollstd,stan_nuts,A_00,0.6831681537,0.0205978520838432,0.6479873345,0.6843837850000001,0.7137115399999999
stan_k2_rollstd,stan_nuts,A_11,0.53696357764,0.0244547824906759,0.495286232,0.537377435,0.5769079495
stan_k2_rollstd,stan_nuts,mean_sigma_0,0.555911347204,0.0126107156634597,0.5344761312,0.5562407460000001,0.5757233385999999
stan_k2_rollstd,stan_nuts,mean_sigma_1,1.4083056612,0.0227592964243235,1.37278942,1.40757983,1.446173108
stan_k2_rollstd,stan_nuts,mu_0_0,0.07270769743224,0.0290896629272866,0.0258556499999999,0.0734164715,0.1211833244999999
stan_k2_rollstd,stan_nuts,mu_1_0,-0.1245336099356,0.0609615493629709,-0.2226093244999999,-0.1228707,-0.0256594531
stan_k3_rollstd,stan_nuts,pi_0,0.39480671267,0.0270929233857639,0.3613340455,0.387335885,0.44700486
stan_k3_rollstd,stan_nuts,A_00,0.3995407541999999,0.0366403003001022,0.3499166185,0.391911575,0.4677291229999999
stan_k3_rollstd,stan_nuts,mean_sigma_0,0.582950384933,0.1175494726141309,0.4859548682,0.527304073,0.7899283871999999
stan_k3_rollstd,stan_nuts,mu_0_0,0.0944608998249999,0.5600118590212455,-0.4877049525,0.026667275,0.8159573999999999
stan_k3_rollstd,stan_nuts,pi_1,0.4193839806,0.0256809222893765,0.3747231065,0.42392496,0.456453948
stan_k3_rollstd,stan_nuts,A_11,0.441749402185,0.0441431556778401,0.361889906,0.450727135,0.5025422885
stan_k3_rollstd,stan_nuts,mean_sigma_1,0.516820504905,0.0457641844327685,0.4438563468,0.5316749000000001,0.5694715246
stan_k3_rollstd,stan_nuts,mu_1_0,0.102629540062,0.414631814388579,-0.4777762,0.187889908,0.5286888064999999
stan_k3_rollstd,stan_nuts,pi_2,0.185809306875,0.0166381867477938,0.1604548174999999,0.184228675,0.2146773185
stan_k3_rollstd,stan_nuts,A_22,0.3479139699649999,0.0660026729786219,0.2256364195,0.36796671,0.4294268935
stan_k3_rollstd,stan_nuts,mean_sigma_2,1.534339229797,0.4043562514320015,0.8246769314,1.75110041,1.82471253
stan_k3_rollstd,stan_nuts,mu_2_0,-0.52309731812595,0.4220007026256076,-1.268971015,-0.33569821,-0.1128728595
